"filename", "language", "JavaScript JSX", "JSON", "Markdown", "HTML", "PostCSS", "comment", "blank", "total"
"/home/rxbru/myspace/Projects/Concice/Concize/backend/utils/llmSecurity/relevanceFilter.js", "JavaScript JSX", 78, 0, 0, 0, 0, 42, 18, 138
"/home/rxbru/myspace/Projects/Concice/Concize/backend/utils/llmSecurity/securityMonitor.js", "JavaScript JSX", 53, 0, 0, 0, 0, 26, 17, 96
"/home/rxbru/myspace/Projects/Concice/Concize/backend/utils/logger.js", "JavaScript JSX", 31, 0, 0, 0, 0, 14, 9, 54
"/home/rxbru/myspace/Projects/Concice/Concize/backend/utils/systemCheck.js", "JavaScript JSX", 62, 0, 0, 0, 0, 13, 13, 88
"/home/rxbru/myspace/Projects/Concice/Concize/backend/workers/summaryWorker.js", "JavaScript JSX", 71, 0, 0, 0, 0, 20, 22, 113
"/home/rxbru/myspace/Projects/Concice/Concize/backend/workers/transcriptionWorker.js", "JavaScript JSX", 181, 0, 0, 0, 0, 12, 32, 225
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/chat-popup.css", "PostCSS", 0, 0, 0, 0, 400, 2, 62, 464
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/chat-popup.html", "HTML", 0, 0, 0, 47, 0, 2, 4, 53
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/chat-popup.js", "JavaScript JSX", 263, 0, 0, 0, 0, 25, 59, 347
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/manifest.json", "JSON", 0, 40, 0, 0, 0, 0, 1, 41
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/marked.min.js", "JavaScript JSX", 2210, 0, 0, 0, 0, 9, 3, 2222
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/offscreen.html", "HTML", 0, 0, 0, 9, 0, 0, 1, 10
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/offscreen.js", "JavaScript JSX", 185, 0, 0, 0, 0, 18, 34, 237
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/permission.html", "HTML", 0, 0, 0, 48, 0, 0, 1, 49
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/permission.js", "JavaScript JSX", 16, 0, 0, 0, 0, 0, 3, 19
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/popup.css", "PostCSS", 0, 0, 0, 0, 220, 0, 37, 257
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/popup.html", "HTML", 0, 0, 0, 75, 0, 14, 11, 100
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/popup.js", "JavaScript JSX", 256, 0, 0, 0, 0, 52, 51, 359
"/home/rxbru/myspace/Projects/Concice/Concize/frontend/service-worker.js", "JavaScript JSX", 62, 0, 0, 0, 0, 6, 8, 76
"Total", "-", 7646, 7520, 89, 179, 620, 1179, 1408, 18641
